Key,en,es,ar,fr
Enter Subject,Enter Subject,Introducir Asunto,أدخل الموضوع,Entrez le sujet
Hospital Wallets,Hospital Wallets,Carteras de hospital,محافظ المستشفيات,Portefeuilles d'hôpital
Hospital Offline Wallets,Hospital Offline Wallets,Monederos sin conexión para hospitales,محافظ المستشفيات غير المتصلة بالإنترنت,Portefeuilles hors ligne pour hôpitaux
Total Branch,Total Branch,Rama total,إجمالي الفرع,Branche totale
Total Doctors,Total Doctors,Doctores totales,مجموع الأطباء,Total des médecins
Total Departments,Total Departments,Departamentos totales,إجمالي الأقسام,Nombre total de départements
Hospital Department,Hospital Department,Departamento de Hospital,قسم المستشفى,Département hospitalier
Hospital Branch,Hospital Branch,Rama del Hospital,فرع المستشفى,Branche hospitalière
Manage Doctor,Manage Doctor,Administrar Doctor,إدارة الطبيب,Gérer le médecin
Schedule Data,Schedule Data,Datos de programación,بيانات الجدول,Données de planification
Payment Type,Payment Type,Tipo de pago,نوع الدفع,Type de paiement
Doctor Fess,Doctor Fess,Doctor Fess,الدكتور فيس,Docteur Fess
Complete,Complete,Completo,مكتمل,Complet
Schedule Date,Schedule Date,Fecha programada,تاريخ الجدول,Date prévue
Summary,Summary,Resumen,ملخص,Résumé
Withdraw Amount,Withdraw Amount,Monto a retirar,سحب المبلغ,Montant retiré
Receiving Gateway,Receiving Gateway,Puerta de enlace de recepción,بوابة الاستقبال,Passerelle de réception
No Transactions Found!,No Transactions Found!,¡No se encontraron transacciones!,لم يتم العثور على أي معاملات!,Aucune transaction trouvée !
Withdraw Logs,Withdraw Logs,Registros de retiro,سحب السجلات,Retirer les journaux
Money Withdraw,Money Withdraw,Retirar dinero,سحب الأموال,Retrait d'argent
Add Hospital Department,Add Hospital Department,Agregar departamento del hospital,إضافة قسم المستشفى,Ajouter un service hospitalier
Department List,Department List,Lista de departamentos,قائمة الأقسام,Liste des départements
Department Name,Department Name,Nombre del departamento,اسم القسم,Nom du département
Save,Save,Ahorrar,يحفظ,Sauvegarder
Department Edit,Department Edit,Departamento Editar,تحرير القسم,Édition du département
Update Hospital Department,Update Hospital Department,Actualización del Departamento del Hospital,تحديث قسم المستشفى,Mise à jour du service hospitalier
Branch List,Branch List,Lista de sucursales,قائمة الفروع,Liste des succursales
Add Hospital branch,Add Hospital branch,Agregar sucursal del Hospital,إضافة فرع المستشفى,Ajouter une branche d'hôpital
Edit Hospital branch,Edit Hospital branch,Editar sucursal del Hospital,تحرير فرع المستشفى,Modifier la branche de l'hôpital
Departments,Departments,Departamentos,الأقسام,Départements
Add Branch,Add Branch,Agregar sucursal,إضافة فرع,Ajouter une branche
Add Doctor,Add Doctor,Agregar Doctor,إضافة طبيب,Ajouter un médecin
Doctor Img,Doctor Img,Doctor Img,دكتور إمج,Docteur Img
Select Departments,Select Departments,Seleccionar departamentos,اختر الأقسام,Sélectionnez les départements
Doctor Title,Doctor Title,Título de Doctor,لقب الطبيب,Titre de docteur
Doctor Qualification,Doctor Qualification,Título de Doctor,مؤهل الطبيب,Qualification de médecin
Doctor Specialty,Doctor Specialty,Especialidad del médico,تخصص الطبيب,Spécialité du médecin
Language Spoken,Language Spoken,Idioma hablado,اللغة المنطوقة,Langue parlée
Doctor Designation,Doctor Designation,Designación de Doctor,تسمية الطبيب,Désignation du médecin
Doctor Contact,Doctor Contact,Contacto con el médico,الاتصال بالطبيب,Contacter le médecin
Doctor Off Days,Doctor Off Days,Días libres del médico,أيام إجازة الطبيب,Jours de congé du médecin
Doctor Floor Number,Doctor Floor Number,Número de piso del doctor,رقم طابق الطبيب,Numéro d'étage du médecin
Doctor Room Number,Doctor Room Number,Número de habitación del doctor,رقم غرفة الطبيب,Numéro de chambre du médecin
Doctor Address,Doctor Address,Dirección del médico,عنوان الطبيب,Adresse du médecin
Schedule Booking,Schedule Booking,Reserva de horario,جدولة الحجز,Réservation d'horaires
Day,Day,Día,يوم,Jour
Max Patient,Max Patient,Paciente máximo,ماكس المريض,Patient Max
Save Doctor,Save Doctor,Salvar al Doctor,احفظ الطبيب,Sauver le docteur
Add Schedule,Add Schedule,Agregar horario,إضافة الجدول الزمني,Ajouter un calendrier
Investigation List,Investigation List,Lista de investigación,قائمة التحقيق,Liste d'enquête
Hospital Investigation,Hospital Investigation,Investigación hospitalaria,تحقيق المستشفى,Enquête à l'hôpital
Add Hospital Investigation,Add Hospital Investigation,Agregar investigación hospitalaria,إضافة تحقيق المستشفى,Ajouter une enquête à l'hôpital
Regular Price,Regular Price,Precio regular,السعر العادي,Prix ​​régulier
Offer Price,Offer Price,Precio de oferta,سعر العرض,Prix ​​de l'offre
Health Package List ,Health Package List ,Lista de paquetes de salud,قائمة الحزمة الصحية,Liste des forfaits de santé
Hospital Health Package List,Hospital Health Package List,Lista de paquetes de salud hospitalarios,قائمة حزمة الرعاية الصحية في المستشفى,Liste des forfaits de santé hospitaliers
Add Hospital Health Package,Add Hospital Health Package,Agregar paquete de salud hospitalaria,إضافة باقة الرعاية الصحية بالمستشفى,Ajouter un forfait santé hospitalier
Package Name,Package Name,Nombre del paquete,اسم الحزمة,Nom du package
Package Title,Package Title,Título del paquete,عنوان الحزمة,Titre du package
Package description,Package description,Descripción del paquete,وصف الحزمة,Description du package
Add Tickets,Add Tickets,Añadir entradas,إضافة التذاكر,Ajouter des billets
Conversation,Conversation,Conversación,محادثة,Conversation
Hospital Care,Hospital Care,Atención hospitalaria,رعاية المستشفى,soins hospitaliers
All Hospitals,All Hospitals,Todos los hospitales,جميع المستشفيات,Tous les hôpitaux
Email To Hospitals,Email To Hospitals,Correo electrónico a hospitales,البريد الإلكتروني للمستشفيات,Courriel aux hôpitaux
Banned Hospitals,Banned Hospitals,Hospitales prohibidos,المستشفيات المحظورة,Hôpitaux interdits
System Maintenance,System Maintenance,Mantenimiento del sistema,صيانة النظام,Maintenance du système
Hospital Section,Hospital Section,Sección del Hospital,قسم المستشفى,Section hospitalière
Requirements Section,Requirements Section,Sección de Requisitos,قسم المتطلبات,Section des exigences
Home,Home,Hogar,بيت,Maison
Blog,Blog,Blog,مدونة,Blog
Booking ID,Booking ID,ID de reserva,معرف الحجز,ID de réservation
Status,Status,Estado,حالة,Statut
Find Parlour ,Find Parlour ,Encuentra un salón,البحث عن صالون,Trouver un salon
Google Authenticator,Google Authenticator,Autenticador de Google,مُوثِّق جوجل,Google Authenticator
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,المصادقة الثنائية,Authentificateur à deux facteurs
Download Google Authenticator App,Download Google Authenticator App,Descargar la aplicación Google Authenticator,تنزيل تطبيق Google Authenticator,Téléchargez l'application Google Authenticator
How to setup,How to setup,Cómo configurar,كيفية الإعداد,Comment configurer
Download For IOS,Download For IOS,Descargar para iOS,تنزيل لنظام iOS,Télécharger pour IOS
Total Service,Total Service,Servicio total,الخدمة الشاملة,Service total
Booking Request,Booking Request,Solicitud de reserva,طلب الحجز,Demande de réservation
Booking Details,Booking Details,Detalles de la reserva,تفاصيل الحجز,Détails de la réservation
Withdraw Money,Withdraw Money,Retirar dinero,سحب الأموال,Retirer de l'argent
Total Payable Amount,Total Payable Amount,Importe total a pagar,إجمالي المبلغ المستحق,Montant total à payer
Latest Withdraw Money,Latest Withdraw Money,Último retiro de dinero,أحدث سحب الأموال,Dernier retrait d'argent
View More,View More,Ver más,عرض المزيد,Voir plus
Add Department,Add Department,Agregar departamento,إضافة قسم,Ajouter un département
Date,Date,Fecha,تاريخ,Date
Department Add,Department Add,Departamento Agregar,إضافة قسم,Ajouter un département
Branch Name,Branch Name,Nombre de la sucursal,اسم الفرع,Nom de la succursale
Add Investigation,Add Investigation,Agregar investigación,إضافة التحقيق,Ajouter une enquête
Price,Price,Precio,سعر,Prix
Doctor Add,Doctor Add,Doctor Agregar,إضافة الطبيب,Docteur Add
From Time,From Time,Desde el tiempo,من الزمن,Du temps
To Time,To Time,Al tiempo,إلى الوقت,Au temps
Add Health Package,Add Health Package,Agregar paquete de salud,إضافة باقة صحية,Ajouter un forfait santé
Freeze,Freeze,Congelar,تجميد,Geler
Health Package Edit,Health Package Edit,Paquete de salud Editar,تعديل الحزمة الصحية,Édition du forfait santé
Edit Hospital Health Package,Edit Hospital Health Package,Editar paquete de salud del hospital,تعديل حزمة صحة المستشفى,Modifier le forfait santé de l'hôpital
KYC-Status,KYC-Status,Estado KYC,حالة KYC,Statut KYC
KYC Verification,KYC Verification,Verificación KYC,التحقق من هوية العميل,Vérification KYC
How can we help you?,How can we help you?,¿Cómo podemos ayudarle?,كيف يمكننا مساعدتك؟,Comment pouvons-nous vous aider?
Make Appointment,Make Appointment,Hacer cita,حجز موعد,Prendre rendez-vous
Make Schedule,Make Schedule,Hacer un horario,إنشاء جدول زمني,Établir un calendrier
Enter Gender,Enter Gender,Introducir género,أدخل الجنس,Entrez le genre
Enter Age,Enter Age,Ingrese la edad,أدخل العمر,Entrez l'âge
Available Schedule Date,Available Schedule Date,Fecha de programación disponible,تاريخ الجدول المتاح,Date de disponibilité du calendrier
Your Message,Your Message,Tu mensaje,رسالتك,Votre message
Proceed Now,Proceed Now,Proceder ahora,إمضي الآن,Procédez maintenant
Report,Report,Informe,تقرير,Rapport
Followup,Followup,Hacer un seguimiento,متابعة,Suivi
Year,Year,Año,سنة,Année
Month,Month,Mes,شهر,Mois
Appointment Preview,Appointment Preview,Vista previa de la cita,معاينة الموعد,Aperçu du rendez-vous
DOCTOR NAME,DOCTOR NAME,NOMBRE DEL DOCTOR,اسم الطبيب,NOM DU MÉDECIN
SPECIALITY,SPECIALITY,ESPECIALIDAD,التخصص,SPÉCIALITÉ
SCHEDULE,SCHEDULE,CRONOGRAMA,جدول,CALENDRIER
MOBILE,MOBILE,MÓVIL,متحرك,MOBILE
EMAIL,EMAIL,CORREO ELECTRÓNICO,بريد إلكتروني,E-MAIL
DOCTOR FEES,DOCTOR FEES,HONORARIOS DEL MÉDICO,رسوم الطبيب,HONORAIRES DE MÉDECIN
FEES & CHARGES ,FEES & CHARGES ,TARIFAS Y CARGOS,الرسوم والتكاليف,FRAIS ET CHARGES
PAYABLE AMOUNT,PAYABLE AMOUNT,IMPORTE A PAGAR,المبلغ المستحق,MONTANT À PAYER
Select Payment Method,Select Payment Method,Seleccione el método de pago,اختر طريقة الدفع,Sélectionnez le mode de paiement
Cash Payment,Cash Payment,Pago al contado,الدفع نقدا,Paiement en espèces
Online Payment,Online Payment,Pago en línea,الدفع عبر الإنترنت,Paiement en ligne
Confirm Appointment,Confirm Appointment,Confirmar cita,تأكيد الموعد,Confirmer le rendez-vous
Home Service Request,Home Service Request,Solicitud de servicio a domicilio,طلب خدمة منزلية,Demande de service à domicile
Setup department,Setup department,Departamento de configuración,قسم الإعداد,Département d'installation
Setup Branch,Setup Branch,Rama de configuración,إعداد الفرع,Branche de configuration
appLFeesAndCharges,Fees & Charges,Tarifas y cargos,الرسوم والتكاليف,Frais et charges
appLFromGallery,From Gallery,De la galería,من المعرض,De la galerie
appLFromCamera,From Camera,Desde la cámara,من الكاميرا,De la caméra
appLHome,Home,Hogar,بيت,Maison
appLYouCanResend,You Can Resend,Puedes reenviar,يمكنك إعادة الإرسال,Vous pouvez renvoyer
appLResend,Resend,Reenviar,إعادة الإرسال,Renvoyer
appLHide,Hide,Esconder,يخفي,Cacher
appLError,Error,Error,خطأ,Erreur
appLOnboardTextContent,Efficiently manage doctor profiles and patient bookings everything in one organized space.,"Gestione de forma eficiente los perfiles de médicos y las reservas de pacientes, todo en un único espacio organizado.",إدارة ملفات تعريف الأطباء وحجوزات المرضى بكفاءة، كل ذلك في مساحة منظمة واحدة.,Gérez efficacement les profils des médecins et les réservations des patients dans un seul espace organisé.
appLResubmit,Resubmit,Volver a enviar,إعادة الإرسال,Soumettre à nouveau
appLKycInformation,Kyc Information,Información de Kyc,معلومات اعرف عميلك,Informations Kyc
appLNoDataFound,No Data Found,No se encontraron datos,لم يتم العثور على أي بيانات,Aucune donnée trouvée
appLConfirmation,Confirmation,Confirmación,تأكيد,Confirmation
appLDescription,Description,Descripción,وصف,Description
appLProofOfIdentity,Proof Of Identity,Documentos de identidad,إثبات الهوية,Preuve d'identité
appLTwoFactorAuthorization,Two Factor Authorization,Autorización de dos factores,تفويض العاملين,Autorisation à deux facteurs
appLPleaseEnterYourAuthorizationCode,Please Enter Your Authorization Code,Por favor ingrese su código de autorización,الرجاء إدخال رمز التفويض الخاص بك,Veuillez saisir votre code d'autorisation
appLCompare,Compare,Comparar,يقارن,Comparer
appLSkipNow,Skip Now,Saltar ahora,تخطي الآن,Passer maintenant
appLSend,Send,Enviar,يرسل,Envoyer
appLTRXID,TRX ID,Identificación de TRX,معرف TRX,ID TRX
appLUpload,Upload,Subir,رفع,Télécharger
appLSubmitValidDocuments,Submit Valid Documents,Presentar documentos válidos,إرسال المستندات الصالحة,Soumettre des documents valides
appLUnverified,Unverified,Inconfirmado,غير مُتحقق,Non vérifié
appLEnableTwoFaSecurity,Enable Two Fa Security,Habilitar seguridad de dos Fa,تمكين أمان الصفحتين,Activer la sécurité à deux facteurs
appLBlogs,Blogs,Blogs,المدونات,Blogs
appLVerified,Verified,Verificado,تم التحقق,Vérifié
appLWellAskFor,for enhanced account security and protection.,para una mayor seguridad y protección de la cuenta.,لتعزيز أمان وحماية حسابك.,pour une sécurité et une protection renforcées du compte.
appLLogIn,Login,Acceso,تسجيل الدخول,Se connecter
appLLogInNow,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن,Connectez-vous maintenant
appLSuccessMSG,Transaction success! Please wait for confirmation,¡Transacción exitosa! Espere la confirmación.,تمت العملية بنجاح! يُرجى انتظار التأكيد.,Transaction réussie ! Veuillez attendre la confirmation.
appLPassword,Password,Contraseña,كلمة المرور,Mot de passe
appLEmailAddress,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني,Adresse email
appLSubmit,Submit,Entregar,يُقدِّم,Soumettre
appLPleaseSubmitYourKyc,Please Submit Your Kyc,Por favor envíe su Kyc,يرجى تقديم معلومات Kyc الخاصة بك,Veuillez soumettre votre Kyc
appLNewPassword,New Password,Nueva contraseña,كلمة المرور الجديدة,Nouveau mot de passe
appLConfirmPassword,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور,Confirmez le mot de passe
appLResetPassword,Reset Password,Restablecer contraseña,إعادة تعيين كلمة المرور,Réinitialiser le mot de passe
appLFirstName,First Name,Nombre de pila,الاسم الأول,Prénom
appLHospitalName,Hospital Name,Nombre del hospital,اسم المستشفى,Nom de l'hôpital
appLViewMore,View More,Ver más,عرض المزيد,Voir plus
appLLatestWithdraw,Latest Withdraw,Último retiro,أحدث عملية سحب,Dernier retrait
appLConfirm,Confirm,Confirmar,يتأكد,Confirmer
appLEmail,Email,Correo electrónico,بريد إلكتروني,E-mail
appLEnable,Enable,Permitir,يُمكَِن,Activer
appLDisable,Disable,Desactivar,إبطال,Désactiver
appLTextCopy,Text Copy,Copia de texto,نسخة النص,Copie de texte
appLAlreadyHaveAn,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب بالفعل؟,Vous avez déjà un compte?
appLForgotPassword,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر,Mot de passe oublié
appLReset,Reset,Reiniciar,إعادة ضبط,Réinitialiser
appLRememberMe,Remember Me,Acuérdate de mí,تذكرنى,Souviens-toi de moi
appLJoinAsHospital,Join as Hospital,Únase como Hospital,انضم كمستشفى,Rejoignez-nous en tant qu'hôpital
appLBecomeAPart,lease input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su panel de control.,قم بإدخال تفاصيلك وتسجيل الدخول إلى حسابك للحصول على إمكانية الوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir vos coordonnées et vous inscrire à votre compte pour accéder à votre tableau de bord.
appLLogInAndStay,Login Information,Información de inicio de sesión,معلومات تسجيل الدخول,Informations de connexion
appLOurSecureLogIn,Our Secure LogIn,Nuestro inicio de sesión seguro,تسجيل الدخول الآمن لدينا,Notre connexion sécurisée
appLResetYourForgotten,Reset Your Forgotten Password?,¿Restablecer su contraseña olvidada?,إعادة تعيين كلمة المرور المنسية؟,Réinitialiser votre mot de passe oublié ?
appLTakeControl,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Toma el control de tu cuenta restableciendo tu contraseña. Nuestra página de recuperación de contraseña te guía por los pasos necesarios para restablecerla de forma segura.,تحكّم بحسابك بإعادة تعيين كلمة مرورك. تُرشدك صفحة استعادة كلمة المرور لدينا إلى الخطوات اللازمة لإعادة تعيين كلمة مرورك بأمان.,Reprenez le contrôle de votre compte en réinitialisant votre mot de passe. Notre page de récupération de mot de passe vous guidera à travers les étapes nécessaires pour réinitialiser votre mot de passe en toute sécurité.
appLPleaseEnterTheCode,Please Enter The Code,Por favor ingrese el código,الرجاء إدخال الرمز,Veuillez entrer le code
appLEnterTheOtpVerification,Please EnterThe Otp Verification,Por favor ingrese la verificación OTP,الرجاء إدخال التحقق من OTP,Veuillez saisir la vérification OTP
appLNowYouAreAble,Now you are able to reset your password.,Ahora puedes restablecer tu contraseña.,الآن أصبح بإمكانك إعادة تعيين كلمة المرور الخاصة بك.,Vous pouvez maintenant réinitialiser votre mot de passe.
appLRegisterNow,Register Now,Regístrate ahora,سجل الآن,Inscrivez-vous maintenant
appLRegister,Register,Registro,يسجل,Registre
appLPending,Pending,Pendiente,قيد الانتظار,En attente
appLNewTo,New To,Nuevo en,جديد إلى,Nouveau à
appLSendOtp,Send Otp,Enviar OTP,إرسال كلمة مرور مؤقتة,Envoyer OTP
appLTermsOfUse,Terms OfUse,Condiciones de uso,شروط الاستخدام,Conditions d'utilisation
appLPrivacyPolicy,Privacy Policy,política de privacidad,سياسة الخصوصية,politique de confidentialité
appLCountry,Country,País,دولة,Pays
appLAddress,Address,DIRECCIÓN,عنوان,Adresse
appLGetWay,GetWay,GetWay,جيت واي,GetWay
appLAgreeToTerms,Agree To Terms,Aceptar los términos,الموافقة على الشروط,Accepter les conditions
appLPersonalAccount,Personal Account,Cuenta personal,حساب شخصي,Compte personnel
appLBusinessAccount,Business Account,Cuenta de negocios,حساب تجاري,Compte professionnel
appLSettings,Settings,Ajustes,إعدادات,Paramètres
appLManageKyc2fa,Manage and customize your app preferences,Administra y personaliza las preferencias de tu aplicación,إدارة تفضيلات التطبيق وتخصيصها,Gérez et personnalisez les préférences de votre application
appLHelpCenter,Help Center,Centro de ayuda,مركز المساعدة,Centre d'aide
appLGetSupportAnd,Get Support And,Obtenga apoyo y,احصل على الدعم و,Obtenez de l'aide et
appLLogOut,LogOut,Cerrar sesión,تسجيل الخروج,Déconnexion
appLReviewOurPrivacy,Review Our Privacy,Revise nuestra privacidad,مراجعة سياسة الخصوصية الخاصة بنا,Consultez notre politique de confidentialité
appLLearnAboutOur,Learn About Our,Conozca más sobre nuestros,تعرف على المزيد عن,En savoir plus sur notre
appLAboutUs,About Us,Sobre nosotros,معلومات عنا,À propos de nous
appLServerError,ServerError,Error del servidor,خطأ في الخادم,Erreur de serveur
appLSuccess,Success,Éxito,نجاح,Succès
appLType,Type,Tipo,يكتب,Taper
appLStatus,Status,Estado,حالة,Statut
appLCity,City,Ciudad,مدينة,Ville
appLGeneral,General,General,عام,Général
appLGallery,Gallery,Galería,معرض الصور,Galerie
appLOthers,Others,Otros,آحرون,Autres
appLGalleryDetails,Gallery Details,Detalles de la galería,تفاصيل المعرض,Détails de la galerie
appLBlogsDetails,Explore insightful articles and updates tailored to your interests.,Explore artículos interesantes y actualizaciones adaptadas a sus intereses.,استكشف المقالات المفيدة والتحديثات المصممة خصيصًا لتناسب اهتماماتك.,Découvrez des articles et des mises à jour perspicaces adaptés à vos intérêts.
appLCompareDetails,Compare Details,Comparar detalles,مقارنة التفاصيل,Comparer les détails
appLJoin,Join,Unirse,ينضم,Rejoindre
appLLogOutAlert,Log Out Alert,Alerta de cierre de sesión,تنبيه تسجيل الخروج,Alerte de déconnexion
appLLogOutNote,Are you sure you want to log out?You’ll need to log back in to continue your session,¿Estás seguro de que quieres cerrar sesión? Deberás volver a iniciarla para continuar.,هل أنت متأكد أنك تريد تسجيل الخروج؟ ستحتاج إلى تسجيل الدخول مرة أخرى لمواصلة جلستك,Êtes-vous sûr de vouloir vous déconnecter ? Vous devrez vous reconnecter pour continuer votre session.
appLState,State,Estado,ولاية,État
appLZipCode,Zip Code,Código postal,الرمز البريدي,Code postal
appLPhone,Phone,Teléfono,هاتف,Téléphone
appLUpdate,Update,Actualizar,تحديث,Mise à jour
appLChangePassword,Change Password,Cambiar la contraseña,تغيير كلمة المرور,Changer le mot de passe
appLOldPassword,Old Password,Contraseña anterior,كلمة المرور القديمة,Ancien mot de passe
appLDeleteAccount,Delete Account,Eliminar cuenta,حذف الحساب,Supprimer le compte
appLDeleteAccountAlert,Delete Account.?,¿Eliminar cuenta?,حذف الحساب؟,Supprimer le compte.?
appLAreYouSureToLogout,Are you sure to Logout?,¿Estás seguro de cerrar sesión?,هل أنت متأكد من تسجيل الخروج؟,Êtes-vous sûr de vouloir vous déconnecter ?
appLDeleteAccountNote,Are you sure to delete your account?,¿Estás seguro de eliminar tu cuenta?,هل أنت متأكد من حذف حسابك؟,Êtes-vous sûr de vouloir supprimer votre compte ?
appLNotifications,Notifications,Notificaciones,إشعارات,Notifications
appLNoData,No Data,Sin datos,لا يوجد بيانات,Aucune donnée
appLNoProperty,No Property,Sin propiedad,لا يوجد ممتلكات,Aucune propriété
appLRestart,Restart,Reanudar,إعادة تشغيل,Redémarrage
appLHospitalBranch,Hospital Branch,Rama del Hospital,فرع المستشفى,Branche hospitalière
appLEnteredAmount,Entered Amount,Cantidad ingresada,المبلغ المدخل,Montant saisi
appLTotalFeesANdCharge,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والتكاليف,Total des frais et charges
appLReject,Reject,Rechazar,يرفض,Rejeter
appLMore,More,Más,أكثر,Plus
appLKyc,KYC,Conozca a su cliente,اعرف عميلك,Connaissance du client
appLCategory,Category,Categoría,فئة,Catégorie
appLSelectGateway,Select Gateways,Seleccione Puertas de enlace,اختر البوابات,Sélectionner les passerelles
appLSelectCountry,Select Country,Seleccionar país,اختر البلد,Sélectionnez un pays
appLSelectBranch,Select Branch,Seleccionar sucursal,اختر الفرع,Sélectionnez une succursale
appLHealth,Health,Salud,صحة,Santé
appLHealthPackage,Health Package,Paquete de salud,باقة الصحة,Forfait Santé
appLLanguage,Language,Idioma,لغة,Langue
appLLanguageSpoken,Language Spoken,Idioma hablado,اللغة المنطوقة,Langue parlée
appLHospitalDepartment,Hospital Department,Departamento de Hospital,قسم المستشفى,Département hospitalier
appLName,Name,Nombre,اسم,Nom
appLSave,Save,Ahorrar,يحفظ,Sauvegarder
appLDelete,Delete,Borrar,يمسح,Supprimer
appLEnter,Enter,Ingresar,يدخل,Entrer
appLEditDoctor,Edit Doctor,Editar Doctor,تحرير الطبيب,Modifier Docteur
appLAddHealthPackage,Add Health Package,Agregar paquete de salud,إضافة باقة صحية,Ajouter un forfait santé
appLAddNewbrance,Add New Branch,Agregar nueva sucursal,إضافة فرع جديد,Ajouter une nouvelle branche
appLAreYouSureDelete,Are You Sure Delete,¿Estás seguro de eliminar?,هل أنت متأكد من الحذف؟,Êtes-vous sûr de supprimer
appLEditHealthPackage,Edit Hospital Health Package,Editar paquete de salud del hospital,تعديل حزمة صحة المستشفى,Modifier le forfait santé de l'hôpital
appLAddHospitalInvestigation,Add Hospital Investigation,Agregar investigación hospitalaria,إضافة تحقيق المستشفى,Ajouter une enquête à l'hôpital
appLEditHospitalInvestigation,Edit Hospital Investigation,Editar Investigación Hospitalaria,تحرير تحقيق المستشفى,Modifier l'enquête de l'hôpital
appLInvestigation,Investigation,Investigación,تحقيق,Enquête
appLRegularPrice,Regular Price,Precio regular,السعر العادي,Prix ​​régulier
appLPackageTitle,Package Title,Título del paquete,عنوان الحزمة,Titre du package
appLDoctors,Doctors,Doctores,الأطباء,Médecins
appLDoctorName,Doctor Name,Nombre del doctor,اسم الطبيب,Nom du docteur
appLDoctorAdd,Doctor Add,Doctor Agregar,إضافة الطبيب,Docteur Add
appLClick,click,hacer clic,انقر,cliquez
appLStatistics,Statistics,Estadística,إحصائيات,Statistiques
appLAddDepartment,Add Department,Agregar departamento,إضافة قسم,Ajouter un département
appLToSelect,to select,Para seleccionar,للاختيار,pour sélectionner
appLDropYourFile,Drop your file Or,Suelta tu archivo o,أسقط ملفك أو,Déposez votre fichier Ou
appLTotalBranch,Total Branch,Rama total,إجمالي الفرع,Branche totale
appLTotalDoctors,Total Doctors,Doctores totales,مجموع الأطباء,Total des médecins
appLTotalDepartments,Total Departments,Departamentos totales,إجمالي الأقسام,Nombre total de départements
appLTotalServiceBooking,Total Service Booking,Reserva total de servicios,حجز الخدمة الشاملة,Réservation de service total
appLTotalService,Total Service,Servicio total,الخدمة الشاملة,Service total
appLTotalBalance,Total Balance,Saldo total,الرصيد الإجمالي,Solde total
appLTwoFa,2FA,2FA,المصادقة الثنائية,2FA
appLTotalHospital,Total Hospital,Hospital Total,مستشفى توتال,Hôpital Total
appLHospitalOfflineWallets,Offline Wallets,Monederos sin conexión,المحافظ غير المتصلة بالإنترنت,Portefeuilles hors ligne
appLOverview,Overview,Descripción general,ملخص,Aperçu
appLSeeAll,See all,Ver todo,انظر الكل,Tout voir
appLBookingRequest,Booking Request,Solicitud de reserva,طلب الحجز,Demande de réservation
appLWelcomeBack,Welcome Back,Bienvenido de nuevo,مرحبًا بعودتك,Content de te revoir
appLComplete,Complete,Completo,مكتمل,Complet
appLOngoing,Ongoing,En curso,جاري,En cours
appLRejected,Rejected,Rechazado,مرفوض,Rejeté
appLDepartmentName,Department Name,Nombre del departamento,اسم القسم,Nom du département
appLEditDepartment,Edit Department,Departamento de edición,قسم التحرير,Département d'édition
appLExRate,Exchange Rate,Tipo de cambio,سعر الصرف,Taux de change
appLWithdrawAmount,Withdraw Amount,Monto a retirar,سحب المبلغ,Montant retiré
appLReceivingGateway,Receiving Gateway,Puerta de enlace de recepción,بوابة الاستقبال,Passerelle de réception
appLVisitType,Visit Type,Tipo de visita,نوع الزيارة,Type de visite
appLShift,Shift,Cambio,يحول,Changement
appLSelectDepartments,Select Departments,Seleccionar departamentos,اختر الأقسام,Sélectionnez les départements
appLDoctorTitle,Doctor Title,Título de Doctor,لقب الطبيب,Titre de docteur
appLDoctorQualification,Doctor Qualification,Título de Doctor,مؤهل الطبيب,Qualification de médecin
appLDoctorSpecialty,Doctor Specialty,Especialidad del médico,تخصص الطبيب,Spécialité du médecin
appLDoctorSDesignation,Doctor Designation,Designación de Doctor,تسمية الطبيب,Désignation du médecin
appLDoctorSContact,Doctor Contact,Contacto con el médico,الاتصال بالطبيب,Contacter le médecin
appLDoctorOffDay,Doctor Off Days,Días libres del médico,أيام إجازة الطبيب,Jours de congé du médecin
appLDoctorFloorNumber,Doctor Floor Number,Número de piso del doctor,رقم طابق الطبيب,Numéro d'étage du médecin
appLDoctorRoomNumber,Doctor Room Number,Número de habitación del doctor,رقم غرفة الطبيب,Numéro de chambre du médecin
appLDoctorAddress,Doctor Address,Dirección del médico,عنوان الطبيب,Adresse du médecin
appLDoctorFess,Doctor Fess,Doctor Fess,الدكتور فيس,Docteur Fess
appLDay,Day,Día,يوم,Jour
appLDepartment,Department,Departamento,قسم,Département
appLSelectDepartment,Select Department,Seleccionar departamento,اختر القسم,Sélectionnez le département
appLFromTime,From Time,Desde el tiempo,من الزمن,Du temps
appLToTime,To Time,Al tiempo,إلى الوقت,Au temps
appLMaxPatient,Max Patient,Paciente máximo,ماكس المريض,Patient Max
appLAddSchedule,Add Schedule,Agregar horario,إضافة الجدول الزمني,Ajouter un calendrier
